location,estate_name,estate_map_latitude,estate_map_longitude,transaction_price,saleable_floor_area,floor_level,transaction_price_per_sq,discount_rate,assignment_date,month,year,credit_level
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,201400,19,M,10600,81,20,12,2024,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,487000,36,M,13528,82,19,12,2024,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,300300,26,L,11550,83,19,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,322800,19,M,16989,21,19,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,377000,20,L,18850,20,19,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,288900,19,L,15205,21,18,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,306000,19,M,16105,21,18,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,398700,26,L,15335,20,18,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,259300,20,M,12965,19,18,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,337800,19,M,17779,19,18,12,2024,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,457400,36,H,12706,82,18,12,2024,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,547100,35,L,15631,86,18,12,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,228000,26,L,8769,83,18,12,2024,F
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,444000,32,L,13875,82,18,12,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,556100,35,H,15889,83,18,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,281200,27,L,10415,18,17,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,275600,27,L,10207,18,17,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,348100,21,L,16576,82,17,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,302200,19,L,15905,20,17,12,2024,0
"TAI PO, NORTH & SHATIN (3)",HENG ON ESTATE,22.41583,114.22905,766600,45,M,17036,18,17,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,319500,19,L,16816,19,17,12,2024,0
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,568700,35,M,16249,86,17,12,2024,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,594200,46,M,12917,86,17,12,2024,F
"TAI PO, NORTH & SHATIN (3)",KWONG YUEN ESTATE,22.38123,114.21415,315100,20,M,15755,19,17,12,2024,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,397100,20,H,19855,20,16,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,297900,15,L,19860,82,16,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,415900,19,H,21889,19,16,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,390200,19,L,20537,19,16,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,403100,26,L,15504,20,16,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,276800,26,M,10646,18,16,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,263300,20,M,13165,19,16,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,257500,20,M,12875,19,16,12,2024,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,724200,35,H,20691,86,16,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,225600,27,H,8356,83,16,12,2024,F
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,310100,19,L,16321,20,13,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,410700,20,M,20535,20,12,12,2024,0
"TAI PO, NORTH & SHATIN (1)",HIN KENG ESTATE,22.36399,114.17324,631700,35,M,18049,81,12,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,279800,26,L,10762,18,12,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,324800,15,M,21653,19,12,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,328300,19,H,17279,20,12,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,279400,20,M,13970,20,12,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,308400,19,L,16232,21,12,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,274600,26,L,10562,18,12,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG ON ESTATE,22.35992,114.10435,354300,20,M,17715,19,12,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,321300,27,H,11900,18,11,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,338700,15,M,22580,21,11,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,282700,26,L,10873,18,11,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,405800,20,H,20290,20,11,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,254500,20,L,12725,19,11,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,423800,26,M,16300,20,11,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,416500,19,H,21921,19,10,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,323200,27,H,11970,18,10,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,325200,20,M,16260,20,10,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,441400,20,M,22070,21,10,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,917800,54,H,16996,82,10,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,353000,19,H,18579,19,9,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,319700,20,L,15985,19,9,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,379500,21,M,18071,20,9,12,2024,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,367400,19,L,19337,20,9,12,2024,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,374500,19,L,19711,20,9,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,350100,19,M,18426,19,9,12,2024,0
KOWLOON EAST (1),HING TIN ESTATE,22.31285,114.23877,745100,41,M,18173,83,9,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,255600,20,M,12780,19,9,12,2024,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,244500,19,M,12868,19,9,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,172200,14,L,12300,82,6,12,2024,F
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,327800,19,H,17253,20,6,12,2024,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,358500,19,M,18868,19,6,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,265300,20,H,13265,19,6,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,315600,27,M,11689,18,6,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,425400,26,M,16362,20,6,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,286600,14,M,20471,82,6,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,676700,41,M,16505,81,6,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,865800,40,M,21645,82,6,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,301100,24,L,12546,82,5,12,2024,F
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,172000,20,L,8600,82,5,12,2024,F
"TAI PO, NORTH & SHATIN (3)",KWONG YUEN ESTATE,22.38123,114.21415,616100,56,H,11002,83,5,12,2024,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,310500,15,M,20700,19,5,12,2024,0
"TAI PO, NORTH & SHATIN (3)",KWONG YUEN ESTATE,22.38123,114.21415,310800,20,L,15540,19,5,12,2024,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,380400,20,M,19020,20,5,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,293600,25,L,11744,19,5,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,302300,26,M,11627,18,5,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,267300,20,H,13365,19,5,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,318600,20,M,15930,19,5,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,294900,25,L,11796,18,5,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,293000,26,L,11269,18,5,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,305900,27,M,11330,18,5,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,330500,20,M,16525,19,5,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,410700,26,L,15796,20,5,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,411700,26,L,15835,20,5,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,411600,19,H,21663,20,5,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,540000,25,M,21600,82,5,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,143100,14,L,10221,83,4,12,2024,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,454100,22,M,20641,83,4,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,443500,20,M,22175,21,4,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,319900,19,M,16837,20,4,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,307700,25,L,12308,18,4,12,2024,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,393800,26,L,15146,20,4,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,288900,26,L,11112,18,4,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,292900,26,M,11265,18,4,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,288000,26,L,11077,18,4,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,305300,27,L,11307,18,4,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,312600,27,M,11578,18,4,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,411900,26,L,15842,20,4,12,2024,0
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,374400,20,L,18720,20,4,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,293600,20,H,14680,20,4,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,405900,19,M,21363,19,4,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,465700,35,L,13306,82,4,12,2024,H
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,346900,15,H,23127,21,4,12,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,703800,35,M,20109,82,3,12,2024,0
"TAI PO, NORTH & SHATIN (3)",YIU ON ESTATE,22.41887,114.23029,764000,42,H,18190,82,3,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,442400,27,M,16385,21,3,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,316400,15,H,21093,19,3,12,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,332800,25,H,13312,18,3,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,306900,27,H,11367,18,3,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,296800,26,L,11415,18,3,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,299000,26,M,11500,18,3,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,271500,26,L,10442,18,3,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,271300,26,L,10435,18,3,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,304200,27,L,11267,18,3,12,2024,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,569200,32,M,17788,22,3,12,2024,0
HONG KONG ISLAND & ISLANDS (2),TSUI WAN ESTATE,22.26825,114.24061,346400,19,M,18232,20,3,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,287400,20,H,14370,20,3,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,292600,20,H,14630,20,3,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,285000,20,H,14250,20,3,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,416700,19,H,21932,19,3,12,2024,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,347600,20,H,17380,19,3,12,2024,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,278300,27,L,10307,86,3,12,2024,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,699800,36,L,19439,83,3,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,377600,20,L,18880,20,2,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",CHUK YUEN (NORTH) ESTATE,22.34581,114.19293,405800,20,H,20290,20,2,12,2024,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,467700,26,L,17988,20,2,12,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,445900,22,L,20268,20,2,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,308800,19,M,16253,20,2,12,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,309200,27,M,11452,18,2,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,451700,27,M,16730,21,2,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,443000,27,M,16407,21,2,12,2024,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,245900,19,M,12942,19,2,12,2024,0
"TAI PO, NORTH & SHATIN (3)",KWONG YUEN ESTATE,22.38123,114.21415,289400,20,L,14470,19,2,12,2024,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,424300,26,L,16319,20,2,12,2024,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,319500,19,H,16816,20,2,12,2024,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,655200,35,L,18720,82,29,11,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,332700,25,L,13308,82,29,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,384300,33,L,11645,83,29,11,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,451300,27,M,16715,21,29,11,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,322000,25,M,12880,18,29,11,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,286800,20,M,14340,19,29,11,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,270400,20,M,13520,19,29,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,286400,26,M,11015,18,29,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,297000,26,M,11423,18,29,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,280600,26,M,10792,18,29,11,2024,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,299600,15,H,19973,20,29,11,2024,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,401900,19,M,21153,20,29,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,324800,27,M,12030,18,29,11,2024,0
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,676400,45,L,15031,81,28,11,2024,0
TUEN MUN & YUEN LONG (3),KIN SANG ESTATE,22.40605,113.96994,284600,36,M,7906,82,28,11,2024,F
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,836600,45,L,18591,82,28,11,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,356400,26,L,13708,83,28,11,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,332700,26,L,12796,18,28,11,2024,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,250600,15,M,16707,82,28,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,304200,28,L,10864,18,28,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,342000,20,H,17100,19,28,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,378100,21,M,18005,20,28,11,2024,0
HONG KONG ISLAND & ISLANDS (2),TSUI WAN ESTATE,22.26825,114.24061,349200,19,H,18379,20,28,11,2024,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,403900,20,H,20195,20,28,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,300800,27,L,11141,18,28,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,412200,19,H,21695,19,27,11,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,314900,26,L,12112,18,27,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG FAT ESTATE,22.36314,114.10348,291300,15,L,19420,82,26,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,504600,25,L,20184,20,26,11,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,494400,27,H,18311,82,26,11,2024,0
"TAI PO, NORTH & SHATIN (3)",YIU ON ESTATE,22.41887,114.23029,653900,36,H,18164,82,26,11,2024,0
HONG KONG ISLAND & ISLANDS (1),WAH KWAI ESTATE,22.25011,114.14024,738900,36,M,20525,82,26,11,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,316700,26,L,12181,18,26,11,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,316500,26,L,12173,18,26,11,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,417900,27,L,15478,21,26,11,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,434900,27,M,16107,21,26,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,323400,28,H,11550,18,26,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,305800,27,M,11326,18,26,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,297000,26,M,11423,18,26,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,436600,26,L,16792,20,26,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,416600,26,L,16023,20,26,11,2024,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,355400,35,M,10154,83,26,11,2024,F
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,276200,26,L,10623,82,25,11,2024,F
"TAI PO, NORTH & SHATIN (2)",TIN PING ESTATE,22.50348,114.13229,466000,32,L,14563,81,25,11,2024,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,351600,27,L,13022,21,25,11,2024,0
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,304200,25,M,12168,18,25,11,2024,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,434000,26,L,16692,20,25,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,548100,41,L,13368,82,25,11,2024,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,334600,28,H,11950,18,25,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,317400,28,M,11336,18,25,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,309800,28,L,11064,18,25,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,417300,19,H,21963,19,25,11,2024,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,448600,26,L,17254,20,25,11,2024,0
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,736600,41,L,17966,81,22,11,2024,0
"TAI PO, NORTH & SHATIN (2)",WAH MING ESTATE,22.48455,114.14015,612800,41,H,14946,82,22,11,2024,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,407000,26,L,15654,20,22,11,2024,0
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,376900,20,M,18845,20,22,11,2024,0
"TAI PO, NORTH & SHATIN (2)",WAN TAU TONG ESTATE,22.44275,114.16876,407700,25,M,16308,19,22,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,545700,25,M,21828,20,22,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,411700,19,L,21668,20,22,11,2024,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,418400,26,L,16092,20,22,11,2024,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,457000,26,L,17577,20,21,11,2024,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,461400,26,L,17746,20,21,11,2024,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,403000,26,L,15500,20,21,11,2024,0
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,357900,20,M,17895,20,21,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,439900,26,M,16919,20,21,11,2024,0
"TAI PO, NORTH & SHATIN (3)",YIU ON ESTATE,22.41887,114.23029,201700,21,L,9605,82,21,11,2024,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,497000,27,M,18407,17,21,11,2024,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,298600,28,L,10664,18,21,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,406900,26,L,15650,20,21,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,409200,26,L,15738,20,21,11,2024,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,436300,26,M,16781,20,21,11,2024,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,414900,26,L,15958,20,21,11,2024,0
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,310800,25,H,12432,82,20,11,2024,F
