location,estate_name,estate_map_latitude,estate_map_longitude,transaction_price,saleable_floor_area,floor_level,transaction_price_per_sq,discount_rate,assignment_date,month,year,credit_level
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,635200,35,M,18149,66,18,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,741000,40,M,18525,66,18,9,2014,0
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,393000,33,L,11909,74,18,9,2014,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,733000,46,M,15935,66,18,9,2014,0
"TAI PO, NORTH & SHATIN (3)",YIU ON ESTATE,22.41887,114.23029,571200,41,H,13932,69,18,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,270600,39,M,6938,72,18,9,2014,F
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,289400,33,M,8770,72,18,9,2014,F
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,324900,35,M,9283,72,18,9,2014,F
KOWLOON EAST (1),TAK TIN ESTATE,22.30976,114.23962,617600,41,L,15063,69,18,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,243900,35,L,6969,66,18,9,2014,F
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,151300,14,L,10807,73,18,9,2014,F
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,473700,35,H,13534,66,17,9,2014,0
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,417000,35,L,11914,72,17,9,2014,0
KOWLOON EAST (2),TSUI PING (NORTH) ESTATE,22.31555,114.22915,458900,41,M,11193,73,17,9,2014,F
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,260600,32,L,8144,72,17,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,595100,35,H,17003,66,17,9,2014,0
KOWLOON WEST & SAI KUNG (1),LEI CHENG UK ESTATE,22.33921,114.16013,234100,26,L,9004,73,17,9,2014,F
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,487100,34,M,14326,66,17,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG ON ESTATE,22.35992,114.10435,259300,32,L,8103,75,17,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,320200,41,M,7810,66,17,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,316100,35,H,9031,66,17,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,311800,35,H,8909,66,17,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,184100,35,L,5260,66,17,9,2014,F
"TAI PO, NORTH & SHATIN (3)",FU HENG ESTATE,22.45645,114.17074,298700,36,L,8297,74,17,9,2014,F
KOWLOON WEST & SAI KUNG (2),PO LAM ESTATE,22.32592,114.25309,452700,35,H,12934,66,16,9,2014,0
KOWLOON WEST & SAI KUNG (2),KING LAM ESTATE,22.31986,114.26158,130700,14,L,9336,66,16,9,2014,F
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,342000,32,M,10688,72,16,9,2014,0
"TAI PO, NORTH & SHATIN (2)",TAI WO ESTATE,22.45201,114.16259,719700,45,H,15993,74,16,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",TSING YI ESTATE,22.35465,114.1028,285300,35,L,8151,66,16,9,2014,F
KOWLOON EAST (2),CHOI HA ESTATE,22.32603,114.21825,763200,45,M,16960,74,16,9,2014,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,230100,28,L,8218,66,16,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,342200,44,M,7777,66,16,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",LOWER WONG TAI SIN (1) ESTATE,22.33831,114.1954,704900,46,L,15324,66,16,9,2014,0
"TAI PO, NORTH & SHATIN (1)",POK HONG ESTATE,22.37493,114.19191,456400,46,L,9922,73,15,9,2014,F
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,396100,46,M,8611,66,15,9,2014,0
KOWLOON WEST & SAI KUNG (1),NAM CHEONG ESTATE,22.32642,114.15827,908700,46,L,19754,72,15,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (2)",CHEUNG ON ESTATE,22.35992,114.10435,197800,14,M,14129,75,15,9,2014,0
"TAI PO, NORTH & SHATIN (2)",CHEUNG WAH ESTATE,22.49219,114.1419,353900,39,L,9074,66,15,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,316600,41,L,7722,66,15,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,213400,27,L,7904,66,15,9,2014,0
KOWLOON EAST (2),CHOI HA ESTATE,22.32603,114.21825,666700,41,L,16261,74,15,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,305300,39,M,7828,66,15,9,2014,0
"TAI PO, NORTH & SHATIN (3)",FU SHIN ESTATE,22.453,114.17556,286500,35,L,8186,72,15,9,2014,F
TUEN MUN & YUEN LONG (1),LEUNG KING ESTATE,22.40756,113.96332,372500,36,M,10347,66,12,9,2014,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,479800,35,L,13709,72,12,9,2014,0
KOWLOON WEST & SAI KUNG (2),TSUI LAM ESTATE,22.32348,114.24827,281100,33,M,8518,72,12,9,2014,F
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,615500,35,H,17586,66,12,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",TUNG TAU (II) ESTATE,22.33306,114.19336,238100,14,L,17007,73,12,9,2014,0
KOWLOON EAST (2),CHOI HA ESTATE,22.32603,114.21825,459000,51,L,9000,74,12,9,2014,F
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,419300,39,M,10751,72,12,9,2014,0
HONG KONG ISLAND & ISLANDS (2),LEI TUNG ESTATE,22.24077,114.15697,631500,35,M,18043,66,12,9,2014,0
TUEN MUN & YUEN LONG (1),SHAN KING ESTATE,22.39895,113.9663,306600,35,H,8760,66,12,9,2014,0
"WONG TAI SIN, TSING YI & TSUEN WAN (1)",FUNG TAK ESTATE,22.34489,114.20121,161700,15,L,10780,75,12,9,2014,F
TUEN MUN & YUEN LONG (2),LONG PING ESTATE,22.44908,114.02275,324400,33,L,9830,72,12,9,2014,0
